ID,amenities,anal,BDSM,femenino,masculino,juguetes,lenceria,muebles
0,False,False,False,True,False,True,True,False
125,False,False,False,True,False,True,False,False
2,False,False,False,True,False,True,True,False
3,False,False,False,True,False,False,True,False
4,False,False,False,True,False,True,True,False
6,False,False,False,True,False,True,True,False
9,True,False,True,True,False,True,True,False
17,False,False,False,False,False,False,True,False
40,True,False,False,False,False,True,True,False
23,False,False,False,False,False,False,True,False
24,True,False,False,True,False,True,True,False
25,False,False,False,True,False,True,True,False
12,True,True,True,True,False,True,True,False
51,False,False,False,True,False,False,True,False
228,True,False,True,True,False,True,True,False
157,False,False,False,False,True,False,False,False
65,True,False,False,True,False,True,True,False
42,False,True,False,False,False,True,True,False
38,True,True,False,False,False,True,True,False
10,False,True,False,False,False,True,True,False
48,False,False,False,False,False,False,True,False
188,False,False,False,True,False,True,True,False
53,False,False,False,False,True,True,True,False
55,False,False,False,False,False,False,True,False
56,False,False,False,False,False,False,True,False
22,False,False,True,True,False,True,True,False
217,False,False,True,True,False,True,True,False
76,False,True,False,False,False,True,True,False
78,False,False,False,False,False,False,True,False
80,False,False,False,True,False,True,True,False
81,True,False,False,False,True,False,True,False
85,False,False,False,False,False,False,True,False
86,False,False,False,False,False,False,True,False
88,True,False,False,False,False,False,True,False
89,False,True,False,True,False,True,True,False
93,False,False,False,False,False,True,True,False
21,False,False,False,False,False,False,True,False
98,False,False,False,True,False,True,True,False
102,True,False,True,True,False,True,True,False
107,False,True,False,False,False,True,True,False
110,False,False,False,True,False,False,True,False
112,True,False,False,False,True,True,True,False
113,True,False,False,False,False,True,True,False
115,False,False,False,False,False,False,True,False
116,False,False,False,False,False,False,True,False
117,False,False,False,False,True,True,True,False
122,False,False,True,True,True,True,True,False
126,False,False,False,True,False,True,True,False
128,False,False,False,False,False,True,True,False
92,False,True,True,True,False,True,True,False
132,False,False,False,False,False,False,True,False
138,True,True,False,False,False,True,True,False
140,False,False,True,True,False,False,True,False
141,True,True,False,False,False,True,True,False
142,True,False,True,True,False,False,True,False
144,False,False,False,False,False,False,True,False
145,True,True,False,False,False,False,True,False
149,False,False,False,False,False,False,True,False
151,False,False,True,True,False,True,True,False
7,False,False,False,False,False,True,True,False
158,False,False,False,False,False,False,True,False
159,False,False,False,True,False,True,True,False
79,True,True,False,True,False,True,True,False
130,True,False,True,True,False,True,True,False
165,True,False,True,True,False,True,True,False
170,False,False,False,True,False,False,True,False
171,False,False,False,True,False,False,True,False
172,False,False,False,True,False,False,True,False
91,True,False,False,True,False,False,True,True
176,True,False,False,False,True,True,True,False
152,True,False,False,False,True,True,True,False
182,False,False,True,True,True,True,True,False
184,False,False,True,True,False,True,True,False
185,False,False,True,True,True,True,True,False
189,True,False,False,True,False,True,True,False
190,False,False,False,True,False,True,True,False
105,True,False,False,True,False,True,True,False
192,False,False,False,True,False,True,True,False
196,False,False,True,True,False,True,True,False
201,False,False,False,True,False,False,True,False
202,True,True,False,False,False,False,True,False
203,False,False,False,True,False,False,True,False
204,False,False,False,False,False,False,True,False
207,False,False,False,True,False,True,True,False
211,False,False,False,False,False,False,True,False
18,False,False,True,True,False,True,True,False
97,False,False,True,True,False,True,True,False
215,False,False,True,False,True,False,True,False
216,False,True,True,False,False,True,True,False
220,False,False,False,True,False,True,True,False
221,False,False,False,True,False,True,True,False
237,False,False,False,True,False,True,True,False
223,False,False,False,True,False,False,True,False
224,True,False,False,True,False,True,True,False
225,True,False,True,True,False,True,True,False
226,False,False,True,False,False,False,True,False
229,True,False,False,False,False,True,True,False
232,False,True,False,False,False,False,True,False
168,False,True,False,True,False,True,True,False
234,True,True,False,False,False,False,True,False
235,False,False,False,False,False,True,True,False
238,True,False,False,False,True,False,True,False
239,True,False,False,False,False,False,True,False
241,False,False,False,True,False,False,True,False
243,False,False,False,False,False,False,True,False
244,False,False,False,False,False,True,True,False
245,False,False,False,True,False,True,True,False
