ID,ID_PRODUCT,REGULAR_PRICE,DISCOUNT_PRICE,FECHA
0,0,39.99,14.99,24/05/10
1,1,99.99,54.99,24/05/10
2,2,19.99,9.99,24/05/10
3,3,69.99,29.99,24/05/10
4,4,99.99,54.99,24/05/10
5,5,69.99,49.99,24/05/10
6,6,19.99,9.99,24/05/10
7,7,19.99,7.99,24/05/10
8,8,54.99,14.99,24/05/10
11,11,34.99,7.99,24/05/10
12,12,29.99,11.99,24/05/10
13,13,29.99,11.99,24/05/10
14,14,24.99,9.99,24/05/10
16,16,69.99,44.99,24/05/10
17,17,19.99,8.99,24/05/10
18,18,29.99,14.99,24/05/10
19,19,19.99,9.99,24/05/10
20,20,59.99,29.99,24/05/10
21,21,19.99,7.99,24/05/10
22,22,49.99,29.99,24/05/10
23,23,24.99,15.99,24/05/10
24,24,14.99,6.99,24/05/10
25,25,11.99,4.99,24/05/10
26,26,34.99,9.99,24/05/10
27,27,29.99,12.99,24/05/10
28,28,29.99,12.99,24/05/10
29,29,109.99,54.99,24/05/10
30,30,99.99,49.99,24/05/10
31,31,89.99,36.99,24/05/10
33,33,89.99,39.99,24/05/10
34,34,59.99,54.99,24/05/10
35,35,119.99,49.99,24/05/10
36,36,69.99,59.99,24/05/10
37,37,69.99,34.99,24/05/10
39,39,24.99,9.99,24/05/10
40,40,24.99,12.99,24/05/10
41,41,29.99,14.99,24/05/10
42,42,19.99,6.99,24/05/10
43,43,39.99,17.99,24/05/10
44,44,19.99,7.99,24/05/10
45,45,24.99,7.99,24/05/10
46,46,59.99,39.99,24/05/10
47,47,44.99,19.99,24/05/10
48,48,69.99,39.99,24/05/10
49,49,29.99,24.99,24/05/10
50,50,299.99,99.99,24/05/10
51,51,99.99,39.99,24/05/10
52,52,49.99,29.99,24/05/10
53,53,14.99,4.99,24/05/10
54,54,49.99,24.99,24/05/10
55,55,15.99,5.99,24/05/10
56,56,59.99,39.99,24/05/10
57,57,19.99,6.99,24/05/10
58,58,39.99,19.99,24/05/10
59,59,29.99,17.99,24/05/10
60,60,119.99,54.99,24/05/10
61,61,49.99,24.99,24/05/10
64,64,16.99,5.99,24/05/10
65,65,59.99,34.99,24/05/10
66,66,99.99,89.99,24/05/10
67,67,129.99,79.99,24/05/10
68,68,79.99,49.99,24/05/10
69,69,19.99,12.99,24/05/10
70,70,99.99,54.99,24/05/10
71,71,59.99,17.99,24/05/10
73,73,39.99,9.99,24/05/10
74,74,49.99,29.99,24/05/10
76,76,19.99,9.99,24/05/10
77,77,69.99,29.99,24/05/10
78,78,99.99,49.99,24/05/10
79,79,54.99,49.99,24/05/10
80,80,19.99,7.99,24/05/10
81,81,49.99,19.99,24/05/10
82,82,19.99,8.99,24/05/10
83,83,24.99,19.99,24/05/10
84,84,24.99,14.99,24/05/10
85,85,19.99,7.99,24/05/10
86,86,22.99,14.99,24/05/10
87,87,29.99,11.99,24/05/10
88,88,39.99,17.99,24/05/10
89,89,29.99,14.99,24/05/10
90,90,49.99,23.99,24/05/10
91,91,39.99,19.99,24/05/10
92,92,59.99,19.99,24/05/10
94,94,59.99,34.99,24/05/10
95,95,59.99,34.99,24/05/10
96,96,99.99,49.99,24/05/10
97,97,89.99,49.99,24/05/10
98,98,79.99,54.99,24/05/10
99,99,19.99,9.99,24/05/10
101,101,44.99,17.99,24/05/10
102,102,59.99,17.99,24/05/10
104,104,59.99,29.99,24/05/10
105,105,19.99,9.99,24/05/10
107,107,19.99,8.99,24/05/10
108,108,19.99,7.99,24/05/10
109,109,29.99,18.99,24/05/10
110,110,59.99,44.99,24/05/10
111,111,44.99,20.99,24/05/10
113,113,99.99,89.99,24/05/10
114,114,11.99,7.99,24/05/10
116,116,59.99,29.99,24/05/10
117,117,99.99,59.99,24/05/10
118,118,19.99,12.99,24/05/10
119,119,79.99,36.99,24/05/10
121,121,39.99,13.99,24/05/10
122,122,49.99,23.99,24/05/10
123,123,69.99,34.99,24/05/10
127,127,24.99,13.99,24/05/10
128,128,139.99,76.99,24/05/10
129,129,44.99,29.99,24/05/10
130,130,99.99,69.99,24/05/10
134,134,14.99,5.99,24/05/10
137,137,29.99,9.99,24/05/10
138,138,19.99,6.99,24/05/10
139,139,44.99,22.99,24/05/10
140,140,69.99,34.99,24/05/10
141,141,119.99,69.99,24/05/10
142,142,159.99,149.99,24/05/10
143,143,19.99,14.99,24/05/10
144,144,19.99,6.99,24/05/10
146,146,59.99,22.99,24/05/10
147,147,19.99,11.99,24/05/10
148,148,12.99,7.99,24/05/10
149,149,29.99,14.99,24/05/10
150,150,11.99,3.99,24/05/10
151,151,59.99,29.99,24/05/10
152,152,29.99,14.99,24/05/10
153,153,49.99,24.99,24/05/10
154,154,39.99,13.99,24/05/10
155,155,69.99,37.99,24/05/10
157,157,39.99,19.99,24/05/10
158,158,119.99,54.99,24/05/10
159,159,79.99,59.99,24/05/10
160,160,59.99,49.99,24/05/10
161,161,99.99,59.99,24/05/10
166,166,44.99,29.99,24/05/10
167,167,19.99,11.99,24/05/10
168,168,27.99,13.99,24/05/10
170,170,34.99,34.99,24/05/10
171,171,54.99,54.99,24/05/10
172,172,19.99,19.99,24/05/10
173,173,59.99,49.99,24/05/10
174,174,299.99,199.99,24/05/10
175,175,49.99,24.99,24/05/10
176,176,119.99,79.99,24/05/10
177,177,11.99,7.99,24/05/10
178,178,24.99,9.99,24/05/10
179,179,19.99,9.99,24/05/10
180,180,89.99,59.99,24/05/10
181,181,29.99,12.99,24/05/10
182,182,89.99,44.99,24/05/10
183,183,129.99,64.99,24/05/10
184,184,29.99,29.99,24/05/10
185,185,54.99,54.99,24/05/10
187,187,59.99,39.99,24/05/10
188,188,49.99,19.99,24/05/10
189,189,119.99,69.99,24/05/10
190,190,69.99,59.99,24/05/10
191,191,49.99,49.99,24/05/10
192,192,54.99,54.99,24/05/10
193,193,24.99,16.99,24/05/10
196,196,59.99,29.99,24/05/10
197,197,44.99,29.99,24/05/10
198,198,34.99,19.99,24/05/10
199,199,34.99,14.99,24/05/10
200,200,34.99,23.99,24/05/10
201,201,74.99,49.99,24/05/10
202,202,49.99,49.99,24/05/10
203,203,44.99,44.99,24/05/10
204,204,19.99,14.99,24/05/10
207,207,69.99,49.99,24/05/10
208,208,74.99,59.99,24/05/10
209,209,99.99,39.99,24/05/10
210,210,69.99,29.99,24/05/10
211,211,25.99,9.99,24/05/10
212,212,11.99,6.99,24/05/10
213,213,69.99,69.99,24/05/10
214,214,59.99,59.99,24/05/10
215,215,74.99,74.99,24/05/10
216,216,49.99,49.99,24/05/10
217,217,49.99,19.99,24/05/10
219,219,79.99,54.99,24/05/10
220,220,44.99,44.99,24/05/10
221,221,49.99,49.99,24/05/10
222,222,49.99,49.99,24/05/10
223,223,44.99,44.99,24/05/10
224,224,79.99,29.99,24/05/10
225,225,64.99,24.99,24/05/10
226,226,59.99,24.99,24/05/10
227,227,59.99,29.99,24/05/10
228,228,49.99,29.99,24/05/10
229,229,69.99,39.99,24/05/10
230,230,29.99,14.99,24/05/10
231,231,99.99,29.99,24/05/10
232,232,109.99,109.99,24/05/10
233,233,44.99,44.99,24/05/10
234,234,17.99,17.99,24/05/10
235,235,29.99,19.99,24/05/10
236,236,599.99,249.99,24/05/10
237,237,13.99,8.99,24/05/10
238,238,119.99,59.99,24/05/10
239,239,11.99,7.99,24/05/10
240,240,14.99,2.99,24/05/10
241,241,19.99,8.99,24/05/10
242,242,59.99,39.99,24/05/10
243,243,14.99,3.99,24/05/10
244,244,59.99,34.99,24/05/10
245,245,99.99,99.99,24/05/10
246,246,64.99,64.99,24/05/10
